#
#   VizieR Astronomical Server vizier.u-strasbg.fr 	2012-05-21T08:21:19 [V1.88 (30-Jan-2012)]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#INFO	votable-version=1.88 (30-Jan-2012)	
#INFO	-ref=VIZ4fb9f6df6278	
#INFO	-out.max=9999	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:II/144&cat:II/145&cat:V/53A&tab:{V/53A/catalog}&cat:VII/103&cat:J/A+A/341/553&cat:J/A+A/442/381&cat:J/A+A/451/835&cat:J/A+A/466/917&cat:J/A+A/486/505&cat:J/A+AS/93/373&cat:J/A+AS/102/89&cat:J/A+AS/104/9&cat:J/A+AS/106/257&cat:J/AJ/75/167&cat:J/AJ/126/1996&cat:J/ApJ/469/629&cat:J/ApJS/199/23&key:source=brightest+star&HTTPPRM:&-ref=VIZ4fb9f6df6278&-out.max=9999&-out.form=ascii table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-out.src=V/53A/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=n_HR&-out=Flamsteed&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=Dist&-out=Vmag&-out=SpType&-out=nComp&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=V/53A/catalog
#-source=V/53A/catalog
#-order=I
#-out=HR
#-out=n_HR
#-out=Flamsteed
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=nComp
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Coosys	B2000:	eq_FK4 B2000
#Coosys	J2000:	eq_FK5 J2000
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=ID_MAIN]
#Column	n_HR	(A1)	indicates that name(s) exist for this star in the file "\begin{tex}\vFile{V/53A/./names.dat}{names.dat}\end{tex}" {\em(indique l'existence de nom(s) usuels)}	[ucd=DATA_LINK]
#Column	Flamsteed	(I3)	? Flamsteed number	[ucd=ID_ALTERNATIVE]
#Column	Const	(A3)	\W{const}{/vizier/VizieR/constellations.htx}{Constellation Name} (3 characters)	[ucd=ID_CONSTEL]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=POS_EC_LON]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=POS_EC_LAT]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=PHYS_DISTANCE_TRUE]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=PHOT_JHN_V]
#Column	SpType	(a19)	MK Spectral Type	[ucd=SPECT_TYPE_MK]
#Column	nComp	(I2)	[1/13]? Number of visual components (nombre de composantes visuelles)	[ucd=NUMBER]
_RAJ2000;_DEJ2000;HR;n_HR;Flamsteed;Const;RA2000;DE2000;ELON;ELAT;Dist;Vmag;SpType;nComp
010.8974;-17.9866; 188; ; 16;Cet;00 43 35.3;-17 59 12;  2.58;-20.78;   95; 2.01;K0IIICH-1H,K-0.5   ;
010.8387;-57.4630; 191; ;   ;Phe;00 43 21.2;-57 27 47;335.34;-54.46;  250; 4.36;A0IV               ; 2
011.1816;+48.2844; 193; ; 22;Cas;00 44 43.5;+48 17 04; 32.46; 39.31;  476; 4.50;B5IIIe             ; 2
011.0474;-10.6094; 194; ; 17;Cet;00 44 11.3;-10 36 34;  5.89;-14.11;  217; 4.75;K0IIIv             ;
011.8349;+24.2672; 215; ; 34;And;00 47 20.3;+24 16 02; 20.58; 17.62;  191; 4.06;K1IIe              ; 4
012.2753;+57.8160; 219; ; 24;Cas;00 49 06.0;+57 48 58; 40.25; 47.01;   19; 3.44;G0V+dM0            ; 8
012.2087;+50.9683; 223; ; 25;Cas;00 48 50.0;+50 58 06; 35.01; 41.28;  407; 4.89;B9III              ;
012.1707; +7.5850; 224; ; 63;Psc;00 48 40.9;+07 35 06; 14.15;  2.18;  326; 4.44;K5III              ; 2
012.4537;+41.0788; 226; ; 35;And;00 49 48.8;+41 04 44; 29.15; 32.56;  390; 4.53;B5V+F8V            ;
013.2674;+61.1241; 244; ;   ;   ;00 53 04.1;+61 07 27; 43.75; 49.40;   61; 4.80;F8V                ; 5
013.2520; -1.1444; 248; ; 20;Cet;00 53 00.4;-01 08 40; 11.74; -6.29;  543; 4.76;M0III              ;
013.7503;+58.9727; 253; ; 26;Cas;00 55 00.0;+58 58 22; 42.16; 47.52;  407; 4.84;K2III              ; 3
014.1770;+60.7166; 264; ; 27;Cas;00 56 42.4;+60 43 00; 43.93; 48.82;  624; 2.47;B0IVe              ; 3
014.1657;+59.1810; 265; ; 28;Cas;00 56 39.7;+59 10 52; 42.59; 47.57;  217; 4.64;G8.5IIIbCN-1       ;
014.1882;+38.4994; 269; ; 37;And;00 56 45.1;+38 29 58; 29.17; 29.66;  141; 3.87;A5V                ; 4
014.3020;+23.4177; 271; ; 38;And;00 57 12.4;+23 25 04; 22.38; 15.93;  250; 4.42;G8IIIb             ; 2
014.6516;-29.3577; 280; ;   ;Scl;00 58 36.3;-29 21 28;  0.49;-32.51;  556; 4.27;B7IIIp             ;
017.1873;+86.2571; 285; ;   ;   ;01 08 44.9;+86 15 26; 81.45; 65.21;  326; 4.26;K2II-III           ;
015.7357; +7.8900; 294; ; 71;Psc;01 02 56.5;+07 53 24; 17.52;  1.09;  191; 4.28;K0III              ; 2
016.5211;-46.7188; 322; ;   ;Phe;01 06 05.0;-46 43 08;350.44;-48.20;  203; 3.30;G8IIIv             ; 3
017.1474;-10.1822; 334; ; 31;Cet;01 08 35.3;-10 10 56; 11.77;-16.12;  120; 3.44;K1.5IIICN1         ; 2
017.3757;+47.2419; 335; ; 42;And;01 09 30.1;+47 14 31; 36.42; 36.37;  409; 4.25;B7Ve               ; 2
017.4332;+35.6205; 337;*; 43;And;01 09 43.9;+35 37 14; 30.41; 25.94;  203; 2.05;M0IIIa             ; 5
017.0961;-55.2458; 338; ;   ;Phe;01 08 23.0;-55 14 45;342.38;-55.13;  296; 3.92;B6V+B9V            ; 3
017.7757;+55.1499; 343; ; 33;Cas;01 11 06.1;+55 09 00; 41.80; 43.12;  141; 4.34;A7V                ; 2
017.8632;+21.0347; 351; ; 84;Psc;01 11 27.1;+21 02 05; 24.53; 12.44;  465; 4.66;G8.5III-IIIa       ;
017.9153;+30.0897; 352; ; 83;Psc;01 11 39.6;+30 05 23; 28.32; 20.74;  163; 4.51;K0IIIb             ;
018.4370;+24.5836; 360; ; 85;Psc;01 13 44.8;+24 35 01; 26.46; 15.50;  407; 4.66;K0III              ; 3
018.7966;-45.5316; 370; ;   ;Phe;01 15 11.1;-45 31 54;353.40;-48.12;   49; 4.96;F8V                ;
018.9428;-68.8760; 377; ;   ;Tuc;01 15 46.2;-68 52 34;322.27;-64.47;   67; 4.86;F6IV               ; 4
020.0203;+58.2316; 382; ; 34;Cas;01 20 04.8;+58 13 54; 45.51; 45.10; 7989; 4.99;F0Ia               ; 5
019.8666;+27.2641; 383; ; 90;Psc;01 19 27.9;+27 15 51; 28.79; 17.47;  326; 4.76;A3V                ;
020.5849;+45.5288; 390; ; 46;And;01 22 20.3;+45 31 44; 37.86; 33.83;  203; 4.90;K0-IIIb            ;
021.4836;+68.1299; 399; ; 36;Cas;01 25 56.0;+68 07 48; 54.96; 52.86;  203; 4.74;K0III              ; 4
021.0057; -8.1836; 402; ; 45;Cet;01 24 01.3;-08 11 01; 16.23;-15.77;  116; 3.59;K0IIIb             ; 2
021.4540;+60.2352; 403; ; 37;Cas;01 25 48.9;+60 14 07; 47.93; 46.40;  101; 2.68;A5III-IVv          ; 2
021.4049;-14.5989; 412; ; 46;Cet;01 25 37.1;-14 35 56; 13.95;-21.82;  296; 4.90;K2.5IIIb           ;
021.9136;+45.4069; 417; ; 48;And;01 27 39.2;+45 24 25; 38.80; 33.31;   93; 4.82;F5IV               ; 4
037.9575;+89.2641; 424;*;  1;UMi;02 31 50.5;+89 15 51; 88.57; 66.10;  465; 2.02;F7:Ib-IIv          ; 5
022.0916;-43.3183; 429; ;   ;Phe;01 28 21.9;-43 19 06;358.14;-47.59;  250; 3.41;M0-IIIa            ;
022.5466; +6.1439; 434; ; 98;Psc;01 30 11.1;+06 08 38; 23.14; -3.06;  362; 4.84;K4III              ; 3
022.8707;+15.3458; 437; ; 99;Psc;01 31 28.9;+15 20 45; 26.82;  5.38;  296; 3.62;G7IIIa             ; 2
022.8128;-49.0727; 440; ;   ;Phe;01 31 15.0;-49 04 22;353.62;-52.58;  148; 3.95;K0III-IV           ;
023.4832;+59.2321; 442; ; 39;Cas;01 33 55.9;+59 13 56; 48.42; 45.01;  217; 4.72;G9IIIb             ;
024.1995;+41.4055; 458; ; 50;And;01 36 47.8;+41 24 20; 38.55; 28.98;   44; 4.10;F8V                ; 3
024.4982;+48.6283; 464; ; 51;And;01 37 59.5;+48 37 42; 42.44; 35.42;  181; 3.57;K3-III             ;
024.8374;+44.3861; 469; ; 52;And;01 39 20.9;+44 23 10; 40.49; 31.49;  250; 4.98;G8III              ;
024.4290;-57.2366; 472;*;   ;Eri;01 37 42.9;-57 14 12;345.31;-59.38;  148; 0.46;B3Vpe              ;
025.1449;+40.5769; 477; ; 53;And;01 40 34.7;+40 34 37; 38.90; 27.93;  501; 4.94;B8III              ; 2
025.4465;+42.6136; 483; ;   ;   ;01 41 47.1;+42 36 49; 40.09; 29.70;   41; 4.96;G1.5V              ; 2
025.3578; +5.4875; 489; ;106;Psc;01 41 25.8;+05 29 15; 25.51; -4.69;  407; 4.44;K3-IIIbBa0.1       ;
025.9153;+50.6888; 496; ;   ;Per;01 43 39.6;+50 41 20; 44.59; 36.85;  440; 4.06;B2Vep              ;
025.6811; -3.6903; 500; ;   ;   ;01 42 43.4;-03 41 25; 22.43;-13.36;  494; 5.00;K3II-III           ;
026.0170;-15.9375; 509; ; 52;Cet;01 44 04.0;-15 56 15; 17.82;-24.82;   11; 3.50;G8V                ; 2
026.3486; +9.1578; 510; ;110;Psc;01 45 23.6;+09 09 28; 27.74; -1.62;  271; 4.26;G8III              ;
027.3961;-10.6864; 531; ; 53;Cet;01 49 35.0;-10 41 11; 21.35;-20.49;   77; 4.68;F3III              ; 2
027.8649;-10.3350; 539; ; 55;Cet;01 51 27.5;-10 20 06; 21.95;-20.33;  271; 3.72;K0IIIBa0.1         ; 2
028.5986;+63.6702; 542; ; 45;Cas;01 54 23.6;+63 40 13; 54.76; 47.55;  465; 3.37;B3III              ;
028.2703;+29.5789; 544; ;  2;Tri;01 53 04.8;+29 34 44; 36.86; 16.80;   65; 3.42;F6IV               ; 3
028.3824;+19.2958; 545; ;  5;Ari;01 53 31.7;+19 17 45; 33.18;  7.16;  217; 4.83;B9V                ; 3
028.3828;+19.2936; 546; ;  5;Ari;01 53 31.8;+19 17 37; 33.18;  7.16;  217; 4.75;A1pSi              ; 3
028.9998;+68.6852; 548; ; 46;Cas;01 55 59.9;+68 41 07; 59.15; 51.69;  512; 4.99;B8III              ;
028.3890; +3.1875; 549; ;111;Psc;01 53 33.3;+03 11 15; 27.52; -7.92;  191; 4.63;K0III              ;
028.6599;+20.8080; 553; ;  6;Ari;01 54 38.3;+20 48 29; 33.97;  8.49;   60; 2.65;A5V                ;
028.4115;-46.3027; 555; ;   ;Phe;01 53 38.7;-46 18 10;  1.32;-52.57;  326; 4.41;M4III              ;
029.1674;-22.5266; 565; ; 56;Cet;01 56 40.1;-22 31 36; 17.91;-32.04;  407; 4.85;K4III              ;
028.9894;-51.6088; 566; ;   ;Eri;01 55 57.4;-51 36 32;356.25;-57.02;   57; 3.70;G8IIIbCNIV         ; 2
029.4824;+23.5961; 569; ;  9;Ari;01 57 55.7;+23 35 46; 35.69; 10.83;  135; 4.79;F0V                ; 4
028.7340;-67.6474; 570; ;   ;Hyi;01 54 56.1;-67 38 51;329.03;-67.11;  217; 4.69;G8III-IV           ;
029.2919;-47.3849; 574; ;   ;   ;01 57 10.0;-47 23 06;  1.09;-53.80;  271; 4.82;G8III              ;
030.4890;+70.9071; 575; ; 48;Cas;02 01 57.3;+70 54 26; 61.91; 53.23;  120; 4.54;A3IV               ; 4
030.8586;+72.4213; 580; ; 50;Cas;02 03 26.0;+72 25 17; 63.56; 54.39;  163; 3.98;A2V                ;
030.0011;-21.0777; 585; ; 59;Cet;02 00 00.2;-21 04 40; 19.43;-31.03;  326; 4.02;M0.5IIIBa0.2       ;
029.6928;-61.5699; 591; ;   ;Hyi;01 58 46.2;-61 34 12;342.12;-64.24;   72; 2.86;F0V                ;
030.5115; +2.7636; 596; ;113;Psc;02 02 02.7;+02 45 49; 29.38; -9.06;  141; 4.33;A0pSiSr            ; 2
030.9749;+42.3297; 603;*; 57;And;02 03 53.9;+42 19 47; 44.23; 27.81;  362; 2.26;K3-IIb             ; 4
030.9782;+42.3308; 604; ; 57;And;02 03 54.7;+42 19 51; 44.23; 27.81;  362; 4.84;B8V+A0V            ; 4
031.1228;-29.2969; 612; ;   ;For;02 04 29.4;-29 17 49; 16.34;-38.92;  362; 4.69;B9.5pSi            ;
031.7932;+23.4625; 617;*; 13;Ari;02 07 10.3;+23 27 45; 37.66;  9.97;   66; 2.01;K2IIIabCa-I        ;
032.1219;+37.8591; 620; ; 58;And;02 08 29.2;+37 51 33; 43.26; 23.33;  203; 4.83;A5IV-V             ;
032.3857;+34.9872; 622; ;  4;Tri;02 09 32.5;+34 59 14; 42.35; 20.58;  125; 3.00;A5III              ;
032.3557;+25.9400; 623; ; 14;Ari;02 09 25.3;+25 56 24; 39.02; 12.12;  326; 4.98;F2III              ; 3
033.0928;+30.3030; 642; ;  6;Tri;02 12 22.2;+30 18 11; 41.20; 15.99;  326; 4.94;G5III+F5V          ; 2
033.3053;+44.2319; 643; ; 60;And;02 13 13.2;+44 13 55; 46.83; 28.91;  289; 4.83;K3.5IIIBa0.5:      ;
033.2499; +8.8467; 649; ; 65;Cet;02 12 59.9;+08 50 48; 34.04; -4.27;  362; 4.35;G6II-IIICN-2       ; 2
034.2636;+34.2244; 660; ;  8;Tri;02 17 03.2;+34 13 28; 43.60; 19.32;   35; 4.87;G0V                ; 2
034.3286;+33.8472; 664; ;  9;Tri;02 17 18.8;+33 50 50; 43.52; 18.95;  120; 4.01;A1Vnn              ;
034.1278;-51.5121; 674; ;   ;Eri;02 16 30.6;-51 30 44;  1.00;-58.99;  155; 3.56;B8V-IV             ; 2
034.8365; -2.9775; 681;*; 68;Cet;02 19 20.7;-02 58 39; 31.52;-15.94;  465; 3.05;M7IIIe             ; 4
036.4057;+50.2786; 699; ; 65;And;02 25 37.3;+50 16 43; 51.81; 33.70;  362; 4.70;K4+III             ; 3
035.4381;-68.6594; 705; ;   ;Hyi;02 21 45.1;-68 39 34;329.18;-69.80;  135; 4.09;A3V                ;
037.2665;+67.4024; 707; ;   ;Cas;02 29 03.9;+67 24 09; 62.23; 48.98;  141; 4.53;A5pSr              ; 4
036.4874;-12.2905; 708; ; 72;Cet;02 25 56.9;-12 17 26; 29.72;-25.24;  543; 4.89;B9.5Vn             ;
037.0399; +8.4600; 718; ; 73;Cet;02 28 09.5;+08 27 36; 37.47; -5.86;  181; 4.30;B9III              ;
036.7465;-47.7038; 721; ;   ;Eri;02 26 59.1;-47 42 14;  7.94;-57.01;  543; 4.25;B5IV               ;
038.0215;-15.2447; 740; ; 76;Cet;02 32 05.1;-15 14 41; 30.10;-28.53;   85; 4.75;F4IV               ;
038.4611;-28.2325; 749; ;   ;For;02 33 50.6;-28 13 57; 24.51;-40.69;  465; 4.89;B9.5V              ; 2
038.9686; +5.5933; 754; ; 78;Cet;02 35 52.4;+05 35 36; 38.39; -9.18;  407; 4.86;G8III              ; 2
039.8707; +0.3286; 779; ; 82;Cet;02 39 28.9;+00 19 43; 37.57;-14.46;  815; 4.06;B2IV               ;
039.8907;-11.8722; 781; ; 83;Cet;02 39 33.7;-11 52 20; 33.34;-26.00;   90; 4.84;F5V+F6V            ; 2
040.5623;+40.1938; 788; ; 12;Per;02 42 14.9;+40 11 38; 50.84; 23.24;   81; 4.92;F9V                ; 2
039.9498;-42.8916; 789; ;   ;   ;02 39 47.9;-42 53 30; 15.98;-54.25;  130; 4.75;A2V                ; 2
040.1669;-39.8552; 794; ;   ;Eri;02 40 40.0;-39 51 19; 18.77;-51.71;  148; 4.11;K0III              ;
041.0498;+49.2286; 799; ; 13;Per;02 44 11.9;+49 13 43; 54.67; 31.62;   36; 4.13;F8V                ; 3
040.8628;+27.7072; 801; ; 35;Ari;02 43 27.0;+27 42 26; 46.93; 11.31;  407; 4.67;B3V                ;
040.8253; +3.2358; 804; ; 86;Cet;02 43 18.0;+03 14 09; 39.43;-12.00;   83; 3.47;A3V                ; 3
039.8981;-68.2669; 806; ;   ;Hyi;02 39 35.5;-68 16 01;331.91;-71.22;  155; 4.11;B9V                ;
041.0307;-13.8589; 811; ; 89;Cet;02 44 07.3;-13 51 32; 33.76;-28.25;  465; 4.24;B7V                ;
041.2357;+10.1142; 813; ; 87;Cet;02 44 56.5;+10 06 51; 41.94; -5.57;   85; 4.27;F0IV               ; 2
041.2757;-18.5725; 818; ;  1;Eri;02 45 06.1;-18 34 21; 32.11;-32.75;   45; 4.46;F6V                ;
041.9774;+29.2472; 824; ; 39;Ari;02 47 54.5;+29 14 50; 48.37; 12.48;  181; 4.52;K1III              ;
042.6744;+55.8955; 834; ; 15;Per;02 50 41.8;+55 53 44; 58.70; 37.48;  588; 3.79;M3-Ib-IIa          ; 6
041.3860;-67.6166; 837; ;   ;Hyi;02 45 32.6;-67 37 00;334.41;-71.53;  296; 4.84;A2IV-V             ;
042.4961;+27.2605; 838; ; 41;Ari;02 49 59.0;+27 15 38; 48.20; 10.45;  163; 3.62;B8Vn               ; 4
042.6457;+38.3186; 840; ; 16;Per;02 50 34.9;+38 19 07; 51.84; 20.94;  130; 4.23;F2III              ; 3
042.2728;-32.4061; 841; ;   ;For;02 49 05.4;-32 24 22; 26.23;-45.86;  171; 4.46;G8IIIb             ; 2
042.8786;+35.0597; 843; ; 17;Per;02 51 30.8;+35 03 35; 50.95; 17.79;  465; 4.53;K7III              ;
042.7594;-21.0041; 850; ;  2;Eri;02 51 02.2;-21 00 15; 32.63;-35.52;  191; 4.77;K0III              ; 2
043.5644;+52.7624; 854; ; 18;Per;02 54 15.4;+52 45 45; 57.91; 34.37;  250; 3.96;G4III+A4V          ; 4
043.4702;-49.8902; 868; ;   ;   ;02 53 52.8;-49 53 25; 12.36;-61.40;  496; 3.92;M7IIIe             ;
042.6197;-75.0669; 872; ;   ;Hyi;02 50 28.7;-75 04 01;310.22;-72.92;  362; 4.75;K3III              ;
044.1069; -8.8980; 874; ;  3;Eri;02 56 25.6;-08 53 53; 38.75;-24.55;  135; 3.87;K1-IIIbBa0.2       ;
